# C name -> luce-js name, for every quickjs.c function whose name changes.
__async_func_free async_func_free_raw
JS_FlattenIntoArray js_flatten_into_array
JS_FreeAtom js_free_atom
JS_FreeAtomRT js_free_atom_rt
JS_FreeAtomStruct js_free_atom_struct
JS_FreeContext js_free_context
JS_FreeCString js_free_c_string
JS_FreePropertyEnum js_free_property_enum
JS_FreeRuntime js_free_runtime
js_function_hasInstance js_function_has_instance
js_function_proto_fileName js_function_proto_file_name
js_function_proto_lineNumber js_function_proto_line_number
js_function_toString js_function_to_string
js_get_array_buffer js_get_array_buffer_internal
JS_GetActiveFunction js_get_active_function
JS_GetAnyOpaque js_get_any_opaque
JS_GetArrayBuffer js_get_array_buffer
JS_GetClassID js_get_class_id
JS_GetClassProto js_get_class_proto
JS_GetContextOpaque js_get_context_opaque
JS_GetException js_get_exception
JS_GetFunctionBytecode js_get_function_bytecode
JS_GetFunctionRealm js_get_function_realm
JS_GetGlobalObject js_get_global_object
JS_GetGlobalVarRef js_get_global_var_ref
JS_GetImportMeta js_get_import_meta
JS_GetIterator js_get_iterator
JS_GetIterator2 js_get_iterator2
JS_GetModuleName js_get_module_name
JS_GetModuleNamespace js_get_module_namespace
JS_GetModulePrivateValue js_get_module_private_value
JS_GetObjectData js_get_object_data
JS_GetOpaque js_get_opaque
JS_GetOpaque2 js_get_opaque2
JS_GetOwnProperty js_get_own_property
JS_GetOwnPropertyInternal js_get_own_property_internal
JS_GetOwnPropertyNames js_get_own_property_names
JS_GetOwnPropertyNames2 js_get_own_property_names2
JS_GetOwnPropertyNamesInternal js_get_own_property_names_internal
JS_GetPrivateField js_get_private_field
JS_GetPropertyInt64 js_get_property_int64
JS_GetPropertyInternal js_get_property_internal
JS_GetPropertyStr js_get_property_str
JS_GetPropertyUint32 js_get_property_uint32
JS_GetPropertyValue js_get_property_value
JS_GetPrototype js_get_prototype
JS_GetPrototypeFree js_get_prototype_free
JS_GetPrototypePrimitive js_get_prototype_primitive
JS_GetRuntime js_get_runtime
JS_GetRuntimeOpaque js_get_runtime_opaque
JS_GetScriptOrModuleName js_get_script_or_module_name
JS_GetStripInfo js_get_strip_info
JS_GetTypedArrayBuffer js_get_typed_array_buffer
js_global_decodeURI js_global_decode_uri
js_global_encodeURI js_global_encode_uri
js_global_isFinite js_global_is_finite
js_global_isNaN js_global_is_na_n
JS_HasException js_has_exception
JS_HasProperty js_has_property
JS_InitAtoms js_init_atoms
JS_InstantiateFunctionListItem js_instantiate_function_list_item
JS_InstantiateFunctionListItem2 js_instantiate_function_list_item2
JS_Invoke js_invoke
JS_InvokeFree js_invoke_free
JS_IsArray js_is_array
JS_IsCFunction js_is_c_function
JS_isConcatSpreadable js_is_concat_spreadable
JS_IsConstructor js_is_constructor
JS_IsEmptyString js_is_empty_string
JS_IsError js_is_error
JS_IsExtensible js_is_extensible
JS_IsFunction js_is_function
JS_IsHTMLDDA js_is_htmldda
JS_IsInstanceOf js_is_instance_of
JS_IsJobPending js_is_job_pending
JS_IsLiveObject js_is_live_object
JS_IsRegisteredClass js_is_registered_class
js_iterator_proto_get_toStringTag js_iterator_proto_get_to_string_tag
js_iterator_proto_set_toStringTag js_iterator_proto_set_to_string_tag
js_iterator_proto_toArray js_iterator_proto_to_array
JS_IteratorClose js_iterator_close
JS_IteratorGetCompleteValue js_iterator_get_complete_value
JS_IteratorNext js_iterator_next
JS_IteratorNext2 js_iterator_next2
js_json_isRawJSON js_json_is_raw_json
js_json_rawJSON js_json_raw_json
js_json_stringify js_json_stringify_internal
JS_JSONStringify js_json_stringify
JS_LoadModule js_load_module
JS_LoadModuleInternal js_load_module_internal
js_map_forEach js_map_for_each
js_map_getOrInsert js_map_get_or_insert
JS_MarkContext js_mark_context
JS_MarkValue js_mark_value
js_math_sumPrecise js_math_sum_precise
js_new_promise_capability js_new_promise_capability_internal
JS_NewArray js_new_array
JS_NewArrayBuffer js_new_array_buffer
JS_NewArrayBufferCopy js_new_array_buffer_copy
JS_NewAtom js_new_atom
JS_NewAtomInt64 js_new_atom_int64
JS_NewAtomLen js_new_atom_len
JS_NewAtomStr js_new_atom_str
